Onset_Beats,Duration_Beats,Midi_Channel,Midi_Pitch,Velocity,Onset_Sec,Duration_Sec,Composer,Piece,idk
9,0.25,0,64,127,4.2,0.1,N/A,N/A,1
10,0.25,0,68,127,4.7,0.1,N/A,N/A,0
11,1.125,0,66,127,5.2,0.6,N/A,N/A,0
12.25,0.25,0,66,127,5.9,0.1,N/A,N/A,0
12.5,0.25,0,68,127,6,0.1,N/A,N/A,0
13,0.5,0,61,127,6.3,0.3,N/A,N/A,0
13.75,0.5,0,63,127,6.7,0.3,N/A,N/A,0
14.5,0.25,0,64,127,7,0.1,N/A,N/A,0
15,1.75,0,68,127,7.3,0.9,N/A,N/A,0
17,0.25,0,64,127,8.3,0.1,N/A,N/A,0
18,0.25,0,68,127,8.9,0.1,N/A,N/A,0
19,1.125,0,66,127,9.4,0.6,N/A,N/A,0
20.25,0.25,0,66,127,10,0.1,N/A,N/A,0
20.5,0.25,0,68,127,10.2,0.1,N/A,N/A,0
21,0.5,0,61,127,10.4,0.3,N/A,N/A,0
21.75,0.5,0,63,127,10.8,0.3,N/A,N/A,0
22.5,0.25,0,71,127,11.2,0.1,N/A,N/A,0
23,1.75,0,68,127,11.5,0.9,N/A,N/A,0
25,0.25,0,68,127,12.5,0.1,N/A,N/A,0
26,0.25,0,69,127,13,0.1,N/A,N/A,0
27,1.5,0,71,127,13.6,0.8,N/A,N/A,0
28.5,0.25,0,73,127,14.3,0.1,N/A,N/A,0
29,0.5,0,64,127,14.6,0.3,N/A,N/A,0
29.75,0.5,0,66,127,15,0.3,N/A,N/A,0
30.5,0.25,0,68,127,15.4,0.1,N/A,N/A,0
31,1.5,0,71,127,15.7,0.8,N/A,N/A,0
32.5,0.25,0,73,127,16.4,0.1,N/A,N/A,0
33,0.5,0,63,127,16.7,0.3,N/A,N/A,0
33.75,0.5,0,75,127,17.1,0.3,N/A,N/A,0
34.5,0.5,0,71,127,17.5,0.3,N/A,N/A,0
35,3.5,0,68,127,17.7,1.8,N/A,N/A,0
38.5,0.25,0,69,127,19.6,0.1,N/A,N/A,0
38.75,0.25,0,68,127,19.7,0.1,N/A,N/A,0
39,1,0,66,127,19.8,0.5,N/A,N/A,0
41,0.25,0,64,127,20.9,0.1,N/A,N/A,0
42,0.25,0,68,127,21.4,0.1,N/A,N/A,0
43,1.125,0,66,127,21.9,0.6,N/A,N/A,0
44.25,0.25,0,66,127,22.6,0.1,N/A,N/A,0
44.5,0.25,0,68,127,22.7,0.1,N/A,N/A,0
45,0.5,0,61,127,23,0.3,N/A,N/A,0
45.75,0.5,0,63,127,23.3,0.3,N/A,N/A,0
46.5,0.25,0,64,127,23.7,0.1,N/A,N/A,0
47,1.75,0,68,127,24,0.9,N/A,N/A,0
49,0.25,0,64,127,25,0.1,N/A,N/A,0
50,0.25,0,68,127,25.6,0.1,N/A,N/A,0
51,1.125,0,66,127,26.1,0.6,N/A,N/A,0
52.25,0.25,0,66,127,26.7,0.1,N/A,N/A,0
52.5,0.25,0,68,127,26.9,0.1,N/A,N/A,0
53,0.5,0,61,127,27.1,0.3,N/A,N/A,0
53.75,0.5,0,63,127,27.5,0.3,N/A,N/A,0
54.5,0.25,0,71,127,27.9,0.1,N/A,N/A,0
55,1.75,0,68,127,28.2,0.9,N/A,N/A,0
57,0.25,0,68,127,29.2,0.1,N/A,N/A,0
58,0.25,0,69,127,29.7,0.1,N/A,N/A,0
59,1.5,0,71,127,30.3,0.8,N/A,N/A,0
60.5,0.25,0,73,127,31,0.1,N/A,N/A,0
61,0.5,0,64,127,31.3,0.3,N/A,N/A,0
61.75,0.5,0,66,127,31.7,0.3,N/A,N/A,0
62.5,0.25,0,68,127,32.1,0.1,N/A,N/A,0
63,1.5,0,71,127,32.3,0.8,N/A,N/A,0
64.5,0.25,0,73,127,33.1,0.1,N/A,N/A,0
65,0.5,0,63,127,33.4,0.3,N/A,N/A,0
65.75,0.5,0,75,127,33.8,0.3,N/A,N/A,0
66.5,0.5,0,71,127,34.2,0.3,N/A,N/A,0
67,3.5,0,68,127,34.4,1.8,N/A,N/A,0
70.5,0.25,0,69,127,36.3,0.1,N/A,N/A,0
70.75,0.25,0,68,127,36.4,0.1,N/A,N/A,0
71,1,0,66,127,36.5,0.5,N/A,N/A,0
73,0.25,0,64,127,37.6,0.1,N/A,N/A,0
74,0.25,0,63,127,38.1,0.1,N/A,N/A,0
75,0.125,0,61,127,38.6,0.1,N/A,N/A,0
75.25,0.125,0,64,127,38.7,0.1,N/A,N/A,0
75.5,0.125,0,63,127,38.9,0.1,N/A,N/A,0
75.75,0.125,0,64,127,39,0.1,N/A,N/A,0
76,0.125,0,61,127,39.1,0.1,N/A,N/A,0
76.75,0.5,0,61,127,39.5,0.3,N/A,N/A,0
77.25,0.125,0,63,127,39.8,0.1,N/A,N/A,0
77.5,0.125,0,64,127,39.9,0.1,N/A,N/A,0
77.75,0.125,0,71,127,40,0.1,N/A,N/A,0
78,0.125,0,68,127,40.2,0.1,N/A,N/A,0
79,0.125,0,61,127,40.7,0.1,N/A,N/A,0
79.25,0.125,0,64,127,40.8,0.1,N/A,N/A,0
79.5,0.125,0,63,127,41,0.1,N/A,N/A,0
79.75,0.125,0,64,127,41.1,0.1,N/A,N/A,0
80,0.125,0,61,127,41.2,0.1,N/A,N/A,0
80.75,0.5,0,61,127,41.6,0.3,N/A,N/A,0
81.25,0.125,0,63,127,41.9,0.1,N/A,N/A,0
81.5,0.125,0,64,127,42,0.1,N/A,N/A,0
81.75,0.125,0,71,127,42.1,0.1,N/A,N/A,0
82,0.125,0,68,127,42.3,0.1,N/A,N/A,0
83,0.125,0,61,127,42.8,0.1,N/A,N/A,0
83.25,0.125,0,64,127,42.9,0.1,N/A,N/A,0
83.5,0.125,0,63,127,43,0.1,N/A,N/A,0
83.75,0.125,0,64,127,43.2,0.1,N/A,N/A,0
84,0.125,0,61,127,43.3,0.1,N/A,N/A,0
84.75,0.5,0,61,127,43.7,0.3,N/A,N/A,0
85.25,0.125,0,63,127,44,0.1,N/A,N/A,0
85.5,0.125,0,64,127,44.1,0.1,N/A,N/A,0
85.75,0.125,0,71,127,44.2,0.1,N/A,N/A,0
