Onset_Beats,Duration_Beats,Midi_Channel,Midi_Pitch,Velocity,Onset_Sec,Duration_Sec,Composer,Piece,idk
4,0.5,0,61,80,1.8,0.3,N/A,N/A,1
4.5,0.5,0,63,80,2.1,0.3,N/A,N/A,0
5,0.5,0,65,80,2.4,0.3,N/A,N/A,0
6,0.5,0,68,80,3,0.3,N/A,N/A,0
8,0.5,0,65,80,4.2,0.3,N/A,N/A,0
8.5,0.5,0,63,80,4.5,0.3,N/A,N/A,0
9,0.5,0,61,80,4.8,0.3,N/A,N/A,0
12,0.5,0,65,80,6.6,0.3,N/A,N/A,0
12.5,0.5,0,68,80,6.9,0.3,N/A,N/A,0
13,0.5,0,70,80,7.2,0.3,N/A,N/A,0
16,0.5,0,68,80,9,0.300000000000001,N/A,N/A,0
16.5,0.5,0,65,80,9.3,0.300000000000001,N/A,N/A,0
17,0.5,0,63,80,9.6,0.300000000000001,N/A,N/A,0
20,0.5,0,61,80,11.4,0.300000000000001,N/A,N/A,0
20.5,0.5,0,63,80,11.7,0.300000000000001,N/A,N/A,0
21,0.5,0,65,80,12,0.300000000000001,N/A,N/A,0
22,0.5,0,68,80,12.6,0.300000000000001,N/A,N/A,0
24,0.5,0,65,80,13.8,0.300000000000001,N/A,N/A,0
24.5,0.5,0,63,80,14.1,0.300000000000001,N/A,N/A,0
25,0.5,0,61,80,14.4,0.300000000000001,N/A,N/A,0
28,0.5,0,65,80,16.2,0.300000000000001,N/A,N/A,0
28.5,0.5,0,68,80,16.5,0.300000000000001,N/A,N/A,0
29,0.5,0,70,80,16.8,0.300000000000001,N/A,N/A,0
30,0.5,0,66,80,17.4,0.300000000000001,N/A,N/A,0
32,0.5,0,68,80,18.6,0.300000000000001,N/A,N/A,0
32.5,0.5,0,65,80,18.9,0.300000000000001,N/A,N/A,0
33,0.5,0,63,80,19.2,0.300000000000001,N/A,N/A,0
36,0.5,0,70,80,21,0.300000000000001,N/A,N/A,0
36.5,0.5,0,72,80,21.3,0.300000000000001,N/A,N/A,0
37,0.5,0,73,80,21.6,0.300000000000001,N/A,N/A,0
40,0.5,0,72,80,23.4,0.300000000000001,N/A,N/A,0
40.5,0.5,0,68,80,23.7,0.300000000000001,N/A,N/A,0
41,0.5,0,65,80,24,0.300000000000001,N/A,N/A,0
42,0.5,0,61,80,24.6,0.300000000000001,N/A,N/A,0
44,0.5,0,66,80,25.8,0.300000000000001,N/A,N/A,0
44.5,0.5,0,68,80,26.1,0.300000000000001,N/A,N/A,0
45,0.5,0,70,80,26.4,0.300000000000001,N/A,N/A,0
48,0.5,0,68,80,28.2,0.300000000000001,N/A,N/A,0
48.5,0.5,0,65,80,28.5,0.300000000000001,N/A,N/A,0
49,0.5,0,63,80,28.8,0.300000000000001,N/A,N/A,0
52,0.5,0,61,80,30.6,0.300000000000001,N/A,N/A,0
52.5,0.5,0,63,80,30.9,0.300000000000001,N/A,N/A,0
53,0.5,0,65,80,31.2,0.300000000000001,N/A,N/A,0
54,0.5,0,68,80,31.8,0.300000000000001,N/A,N/A,0
56,0.5,0,65,80,33,0.299999999999997,N/A,N/A,0
56.5,0.5,0,63,80,33.3,0.299999999999997,N/A,N/A,0
57,0.5,0,61,80,33.6,0.299999999999997,N/A,N/A,0
60,0.5,0,65,80,35.4,0.299999999999997,N/A,N/A,0
60.5,0.5,0,68,80,35.7,0.299999999999997,N/A,N/A,0
61,0.5,0,70,80,36,0.299999999999997,N/A,N/A,0
62,0.5,0,66,80,36.6,0.299999999999997,N/A,N/A,0
64,0.5,0,68,80,37.8,0.299999999999997,N/A,N/A,0
64.5,0.5,0,65,80,38.1,0.299999999999997,N/A,N/A,0
65,0.5,0,63,80,38.4,0.299999999999997,N/A,N/A,0
68,0.5,0,61,80,40.2,0.299999999999997,N/A,N/A,0
68.5,0.5,0,63,80,40.5,0.299999999999997,N/A,N/A,0
69,3.98958333333333,0,65,80,40.8,2.39375,N/A,N/A,0
